Site,Category,Google hits,FB likes,Twitter,political alignment
Daily Caller,clickbait  ,"3,210,000.00","3,769,844","239,000",right
Daily Dot,clickbait  ,"2,240,000.00","2,345,551","276,000",left
Daily Headlines,conspiracy  ,"1,950,000.00","309,452",63,Unknow
Daily Kos,clickbait  ,"3,580,000.00",0,"8,444",left
Daily News Bin,clickbait  ,"46,900.00","63,764","28,300",left
Daily Signal,clickbait  ,"702,000.00","656,924","38,700",right
Daily Wire,clickbait  ,"742,000.00","1,388,088","21,600",centre
DailyBuzzLive,satire ,"71,400.00","195,476","108,000",unknown
DailyCurrant,satire ,"93,200.00","86,044","5,531",left
DailyOccupation,,"74,000,000.00",0,0,none
DailySnark,satire ,"92,000.00","24,500",178,Unknow
Dallas Voice,clickbait  ,"159,000.00","10,333","19,100",left
Data Asylum,conspiracy  ,"11,400.00",0,171,Unknow
David Horowitz Freedom Center,clickbait  ,"46,100.00",0,"1,901",right
David Wolfe,junk science,"4,110,000.00","8,548,023","88,000",Unknow
DC Gazette,conspiracy  ,"144,000.00","423,332","3,103",Unknow
DCClothesLine,clickbait  ,"207,000.00","108,309","13,900",right
Democratic Underground,clickbait  ,"976,000.00","75,033","7,469",left
Denver Guardian,NA,"546,000.00",0,0,Unknow
DerfMagazine,satire ,"5,710.00","4,048","7,628",unknown
Disclose TV,conspiracy  ,"819,000.00","1,993,665","37,500",Unknow
Discover the Networks,clickbait  ,"384,000.00","3,115",652,right
Discovery Institute,clickbait  ,"400,000.00","7,006",659,right
Dissent Magazine,clickbait  ,"118,000.00","23,453","34,400",left
Downtrend,clickbait  ,"1,950,000.00","151,206","1,921",right
Drudge Report,clickbait  ,"1,840,000.00","1,130,862","1,100,000",right
DuffleBlog,satire ,"111,000.00","255,672","20,346",centrist
Eagle Rising,clickbait  ,"306,000.00","658,259","4,415",right
Economy in Crisis,clickbait  ,"334,000.00",95,"2,784",left
EcoWatch,conspiracy  ,"579,000.00","191,992","126,000",Unknow
Educate-Yourself,conspiracy  ,"5,080,000.00",0,0,Unknow
Electronic Intifada,clickbait  ,"438,000.00","80,700","169,994",left
Embols,clickbait  ,"262,000.00","7,476",0,right
Empire Herald,fake news,"21,700.00","43,711","165,000",left
Empire News ,satire ,"462,000.00","21,884",0,Unknow
EmpireSports.co,satire ,"152,000.00","3,202",477,Unknow
Ending the Fed News,conspiracy  ,"77,400.00","358,922",187,Unknow
EnduringVision,satire ,"341,000.00",0,78,unknown
Everyday Feminism,clickbait  ,"419,000.00","521,499","69,400",left
Family Research Council,clickbait  ,"434,000.00","192,666","24,400",right
Family Security Matters,clickbait  ,"156,000.00","8,262",694,right
Federalist Press,clickbait  ,"7,530.00","3,426",0,right
Food Babe,junk science,"545,000.00","1,143,658","102,000",right
Forward Progressives,clickbait  ,"157,000.00","349,211","6,107",left
Fox News,clickbait  ,"19,400,000.00","13,999,658","11,900,000",right
Freakout Nation,clickbait  ,"179,000.00","322,157","8,844",left
Freedom Daily,clickbait  ,"532,000.00","1,519,778","11,900",right
Freedom Outpost,clickbait  ,"290,000.00","2,009","105,362",right
Freedom Works,clickbait  ,"153,000.00","4,844,252","261,000",right
Freethought Project,clickbait  ,"533,000.00","1,733,579","10,000",left
From the Trenches World Report,conspiracy  ,"48,000.00",249,204,Unknow
Frontpage Magazine,clickbait  ,"430,000.00","36,560","6,538",right
Future in America,clickbait  ,"188,000.00","694,661","2,096",right
GeoEngineering Watch,conspiracy  ,"285,000.00","27,013","2,805",Unknow
Global Research,conspiracy  ,"5,690,000.00","241,233","21,900",Unknow
GomerBlog,satire ,"98,600.00","159,190","11,208",Unknow
Gone Left,clickbait  ,"131,000.00","94,206",0,left
Government Accountability Institute,clickbait  ,"7,290.00","12,743","9,549",right
Government Slaves,conspiracy  ,"22,000.00",0,"2,031",Unknow
Greenville Gazette,clickbait  ,"212,000.00","833,321",0,left
Groopspeak,clickbait  ,"199,000.00","493,524",641,left
Guardian Liberty Voice,clickbait  ,"270,000.00","3,557","2,326",left
Gulag Bound,conspiracy  ,"32,100.00","3,083","20,400",Right
Hang the Bankers,conspiracy  ,"106,000.00","17,613","10,200",Unknow
Health Eternally,junk science,"530,000.00","10,048",0,right
Health Impact News,junk science,"249,000.00","477,349","59,300",right
Health Nut News,junk science,"204,000.00","432,629",0,right
Health Sciences Institute,junk science,"381,000.00","10,123",0,right
Heartland Institute,clickbait  ,"296,000.00","100,569","12,800",right
Heritage Foundation,clickbait  ,"4,820,000.00",530,"57,200",right
Hot Air,clickbait  ,"45,100,000.00","828,052","13,100",right
Hudson Institute,clickbait  ,"582,000.00","9,009","28,400",right
Human Events,clickbait  ,"1,190,000.00","744,961","31,600",right
Humans Are Free,conspiracy  ,"386,000.00","35,396",0,Unknow
Huzlers,satire ,"56,400.00","7,183","6,897",none
I have the Truth,clickbait  ,"79,300.00",0,0,right
I Love My Freedom,clickbait  ,"337,000.00",0,0,right
If You Only News,clickbait  ,"81,000.00","569,002",781,left
IJR(Independent Journal Review),,"328,000.00","441,182",0,centre-right
Illuminati News,conspiracy  ,"96,100.00","3,391","4,567",Unknow
In These Times,clickbait  ,"11,300,000.00","75,831","20,700",left
Infinite Unknown,conspiracy  ,"81,800.00",0,176,Unknow
Infowars,conspiracy  ,"4,910,000.00","630,491","191,000",Unknow
Inquisitr,,"7,520,000.00","3,006,077","54,400",centrist/left
Institute for Creation Research (IRC),conspiracy  ,"1,470,000.00","136,403","5,428",Unknow
Institute for Responsible Technology,conspiracy  ,"378,000.00","111,756","6,354",Unknow
Intellihub,conspiracy  ,"128,000.00","28,269","21,200",right
iTagLive,,435,42,3,Unknow
Jacobin,clickbait  ,"2,090,000.00","210,496","91,400",left
Jihad Watch,clickbait  ,"597,000.00","50,829","54,400",right
JonesReport,conspiracy  ,"90,500.00",0,0,Unknow
Jookos News,clickbait  ,"1,180.00","65,648","1,022",right
Judicial Watch,clickbait  ,"1,690,000.00","3,410,932","365,000",right
Knowledge of Today,conspiracy  ,"85,700.00","1,160,982","11,400",Unknow
Knox Report,clickbait  ,"26,800,000.00","7,879",0,right
Lavender Magazine,clickbait  ,"35,000.00","11,486","6,524",left
Left Action,clickbait  ,"441,000.00","1,287,723","28,700",left
Lew Rockwell,clickbait  ,"532,000.00","103,552","48,200",right
